City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kodiak,57.79,-152.4072,53.11,94,100,8.05,US,1722764782
83,coquimbo,-29.9533,-71.3436,51.53,91,0,5.75,CL,1722764781
84,brisas barra de suchiate,14.55,-92.2167,75.38,83,98,3.65,MX,1722764785
85,udachny,66.4167,112.4,69.13,43,72,4.23,RU,1722764786
86,thurso,58.5927,-3.5259,58.86,79,98,7.85,GB,1722764787
87,gobabis,-22.45,18.9667,82.58,12,0,17.34,NA,1722764788
88,oriximina,-1.7656,-55.8661,73.45,67,27,4.43,BR,1722764789
89,enewetak,11.3474,162.3373,84.36,73,94,7.72,MH,1722764790
90,margaret river,-33.95,115.0667,58.19,68,70,11.12,AU,1722764792
91,zeya,53.75,127.2667,61.32,97,100,8.37,RU,1722764793
92,isafjordur,66.0755,-23.124,50.04,76,75,17.27,IS,1722764794
93,ola,59.5833,151.2833,54.68,81,16,7.49,RU,1722764795
94,smithers,54.7804,-127.1743,52.12,76,0,0.0,CA,1722764704
95,akureyri,65.6835,-18.0878,55.33,62,75,2.3,IS,1722764797
96,sisimiut,66.9395,-53.6735,44.11,80,8,2.33,GL,1722764799
97,kapa'a,22.0752,-159.319,79.12,86,20,10.36,US,1722764800
98,invercargill,-46.4,168.35,40.01,94,100,1.99,NZ,1722764801
99,zarnesti,45.3,26.8667,76.59,49,82,9.08,RO,1722764802
100,muynoq,43.7683,59.0214,95.04,19,12,12.82,UZ,1722764804
101,port lincoln,-34.7333,135.8667,51.33,89,100,2.68,AU,1722764806
102,qaqortoq,60.7167,-46.0333,46.22,75,60,2.06,GL,1722764807
103,bilibino,68.0546,166.4372,45.39,71,96,4.59,RU,1722764808
104,plettenberg bay,-34.0527,23.3716,53.2,79,100,23.51,ZA,1722764809
105,dickson,36.077,-87.3878,70.56,97,20,0.0,US,1722764810
106,sabang,5.8933,95.3214,81.23,79,100,13.65,ID,1722764811
107,praia,14.9215,-23.5087,79.34,89,75,3.44,CV,1722764814
108,tiksi,71.6872,128.8694,49.35,64,86,5.55,RU,1722764815
109,khandyga,62.6667,135.6,61.65,61,40,2.15,RU,1722764816
110,atafu village,-8.5421,-172.5159,83.43,77,100,16.2,TK,1722764817
111,nadym,65.5333,72.5167,71.01,74,100,14.63,RU,1722764818
112,dongsheng,39.8161,109.9776,84.69,25,48,6.58,CN,1722764819
113,kone,-21.0595,164.8658,62.47,73,0,7.09,NC,1722764821
114,saldanha,-33.0117,17.9442,57.25,59,100,19.57,ZA,1722764822
115,labrador city,52.9463,-66.9114,55.31,82,0,4.61,CA,1722764824
116,vikhorevka,56.1201,101.1636,67.59,49,13,9.22,RU,1722764825
117,'ain deheb,34.8422,1.547,87.39,15,0,6.82,DZ,1722764826
118,flin flon,54.7682,-101.865,56.37,51,100,3.69,CA,1722764827
119,lemvig,56.5486,8.3102,64.2,72,98,16.11,DK,1722764829
120,arraial do cabo,-22.9661,-42.0278,71.46,83,0,10.36,BR,1722764830
121,sedziszow,50.5659,20.0556,75.07,44,86,7.34,PL,1722764831
122,richards bay,-28.783,32.0377,91.02,21,42,11.81,ZA,1722764833
123,saint-pierre,-21.3393,55.4781,76.68,53,0,9.22,RE,1722764834
124,keflavik,64.0049,-22.5624,55.31,71,75,20.71,IS,1722764836
125,jamestown,42.097,-79.2353,67.71,100,100,3.44,US,1722764137
126,santa vitoria do palmar,-33.5189,-53.3681,50.97,88,53,2.91,BR,1722764838
127,ambad,19.6167,75.8,75.36,87,100,16.17,IN,1722764839
128,naduvannur,11.4875,75.7759,85.1,66,97,6.53,IN,1722764840
129,murghob,38.1702,73.9667,70.02,25,57,3.22,TJ,1722764841
130,nizhnyaya tavda,57.6731,66.1725,73.62,57,91,3.89,RU,1722764842
131,sao geraldo do araguaia,-6.4006,-48.555,71.51,50,5,4.05,BR,1722764844
132,oban,56.4127,-5.4706,58.37,82,100,12.66,GB,1722764845
133,al hazm,16.1641,44.7769,95.34,22,52,11.25,YE,1722764846
134,kidal,18.4411,1.4078,86.49,47,96,9.64,ML,1722764847
135,vrede,-27.4257,29.1659,75.63,16,2,19.77,ZA,1722764848
136,daltonganj,24.0333,84.0667,89.22,64,70,6.89,IN,1722764849
137,maintirano,-18.0667,44.0167,79.77,59,5,13.02,MG,1722764851
138,iqaluit,63.7506,-68.5145,40.73,86,100,4.61,CA,1722764588
139,kuanda,56.3161,116.0806,59.02,89,100,1.97,RU,1722764853
140,la passe,45.5549,-0.8967,76.41,68,80,5.23,FR,1722764854
141,kruisfontein,-34.0033,24.7314,62.89,62,99,29.68,ZA,1722764855
142,ushuaia,-54.8,-68.3,28.06,64,40,12.66,AR,1722764581
